2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Nike,Puma,Puma,Puma,Puma
Hummel,Hummel,Hummel,Nike,Nike,Nike,Nike,Nike,Macron,Macron,Macron,Macron,JD Sports,Umbro
Diadora,Lonsdale,Lonsdale,Umbro,Umbro,Umbro,Xtep,Umbro,Adidas,Puma,Puma,JD Sports,Puma,Nike
Lonsdale,Lonsdale,Reebok,Umbro,Reebok,Umbro,Umbro,Reebok,Nike,Adidas,Adidas,Adidas,Adidas,Puma
Reebok,Reebok,Joma,Reebok,Adidas,Reebok,Carbrini,Adidas,Kappa,Avec,Macron,Macron,Macron,Nike
Joma,Joma,Adidas,Adidas,Umbro,Erreà,Reebok,Le Coq Sportif,Warrior Sports,Nike,Umbro,Umbro,Umbro,Macron
Umbro,Umbro,Umbro,Adidas,Nike,Adidas,Adidas,Kappa,Umbro,Adidas,Umbro,Puma,Umbro,Umbro
Diadora,Umbro,Airness,Umbro,Umbro,Le Coq Sportif,Le Coq Sportif,Adidas,Nike,Adidas,Puma,New Balance,Puma,Puma
Umbro,Puma,Adidas,Nike,Adidas,Nike,Kappa,Umbro,Puma,Warrior,Warrior,Nike,New Balance,Puma
Puma,Reebok,Reebok,Adidas,Le Coq Sportif,Umbro,Adidas,Nike,Erreà,Nike,Nike,Adidas,Nike,New Balance
Reebok,Reebok,Nike,Le Coq Sportif,Nike,Adidas,Umbro,Puma,Lotto,Nike,Nike,Puma,Adidas,Nike
Reebok,Nike,Erreà,Nike,Erreà,Umbro,Nike,Erreà,Puma,Puma,Puma,Erreà,Adidas,Adidas
Nike,Erreà,Adidas,Erreà,Adidas,Nike,Puma,Lotto,Umbro,Erreà,Nike,Adidas,Under Armour,Puma
Erreà,Adidas,Jako,Adidas,Canterbury,Canterbury,Adidas,Adidas,Adidas,Adidas,Made by club,New Balance,Macron,Under Armour
Adidas,Jako,Puma,Canterbury,Le Coq Sportif,Le Coq Sportif,Umbro,Umbro,Adidas,Adidas,Warrior,Adidas,Adidas,Macron
Xara,Lonsdale,Le Coq Sportif,Puma,Umbro,Umbro,Puma,Adidas,Adidas,Adidas,Adidas,Adidas,Joma,Joma
Pompey Sport,Kappa,Puma,Umbro,Puma,Puma,Umbro,Puma,Under Armour,Adidas,Adidas,Under Armour,Under Armour,Nike
Saints,Diadora,Diadora,Puma,Umbro,Umbro,Macron,Adidas,Adidas,Under Armour,Under Armour,Puma,Dryworld,Adidas
Kappa,Reebok,Reebok,Umbro,Umbro,Vandanel,MiFit,MiFit,Macron,Adidas,Adidas,Adidas,Adidas,Adidas
Diadora,JJB,JJB,Umbro,Champion,Le Coq Sportif,BURRDA,BURRDA,MiFit,Adidas,Adidas,Umbro,Umbro,Umbro